age,type_bac,parcours,moyenne_bac,moyenne_s1,moyenne_s2,moyenne_generale_s1_s2,nb_modules_echoues,heures_travail_semaine,discipline_note_sur_5,satisfaction_parcours_note_sur_5,travail_parallele,reussite_generale,resultat_final
25,Informatique,Licence,16.58,16.0,15.08,15.54,1,6.9,4,2,Oui,1,1
26,Mathématiques,Master,15.96,14.72,14.02,14.370000000000001,0,12.2,4,3,Non,1,1
24,Informatique,Licence,11.05,10.58,9.94,10.26,1,7.0,3,2,Non,1,0
22,Mathématiques,Licence,15.15,16.0,16.0,16.0,0,8.9,4,3,Non,1,1
22,Mathématiques,Licence,12.69,9.0,9.0,9.0,3,6.0,1,3,Non,0,0
24,Technique,Licence,12.46,9.0,9.0,9.0,3,7.8,1,2,Non,0,0
22,Informatique,Licence,15.19,13.18,10.81,11.995000000000001,0,6.6,4,4,Non,1,1
27,Informatique,Licence,13.07,9.93,7.12,8.525,0,1.1,2,4,Oui,0,0
29,Informatique,Licence,11.52,9.0,9.0,9.0,3,1.5,3,3,Oui,0,0
26,Mathématiques,Master,15.66,14.54,12.18,13.36,1,11.6,4,3,Non,1,1
21,Informatique,Master,16.33,16.0,16.0,16.0,1,0.5,5,4,Non,1,1
22,Informatique,Licence,14.94,13.99,12.82,13.405000000000001,1,11.1,3,3,Non,1,1
25,Informatique,Cycle Ingénieur,13.03,9.0,9.0,9.0,3,5.4,3,3,Non,0,0
28,Technique,Master,11.85,12.8,13.89,13.345,0,8.9,3,2,Oui,1,1
24,Mathématiques,Licence,14.58,11.96,11.33,11.645,0,10.5,3,3,Oui,1,1
27,Mathématiques,Licence,13.83,10.3,10.28,10.29,0,8.0,4,4,Oui,1,1
23,Informatique,Licence,12.99,12.64,11.99,12.315000000000001,1,8.2,4,3,Non,1,1
24,Mathématiques,Licence,12.69,10.44,12.15,11.295,0,12.1,3,4,Non,1,1
22,Informatique,Cycle Ingénieur,17.88,16.0,15.42,15.71,2,10.8,4,4,Oui,1,1
30,Informatique,Licence,15.74,15.89,15.9,15.895,0,9.5,4,4,Non,1,1
19,Informatique,Cycle Ingénieur,13.78,15.15,15.25,15.2,2,7.3,5,5,Non,1,1
25,Informatique,Master,15.62,15.71,16.0,15.855,1,16.2,4,3,Non,1,1
30,Mathématiques,Licence,14.91,14.19,14.46,14.325,0,13.5,5,4,Oui,1,1
19,Sciences,Licence,15.49,16.0,16.0,16.0,0,14.4,5,3,Non,1,1
20,Informatique,Licence,12.13,14.43,15.14,14.785,2,13.5,4,3,Non,1,1
22,Sciences,Master,13.57,11.37,12.67,12.02,0,13.2,4,5,Non,1,1
24,Sciences,Licence,12.86,13.68,13.32,13.5,1,9.7,5,4,Non,1,1
23,Sciences,Cycle Ingénieur,12.61,16.0,16.0,16.0,2,10.9,3,3,Non,1,1
24,Sciences,Licence,13.59,9.0,9.0,9.0,4,5.7,3,4,Non,0,0
21,Technique,Licence,12.19,11.18,12.25,11.715,2,9.5,3,3,Oui,1,1
24,Mathématiques,Cycle Ingénieur,13.51,11.73,10.19,10.96,0,9.9,4,3,Non,1,1
20,Sciences,Licence,17.07,14.03,14.07,14.05,1,13.5,5,5,Non,1,1
30,Informatique,Cycle Ingénieur,17.21,16.0,15.39,15.695,1,5.9,5,4,Non,1,1
19,Informatique,Licence,11.26,10.97,10.26,10.615,0,12.5,4,4,Non,1,1
30,Informatique,Cycle Ingénieur,17.76,16.0,15.77,15.885,0,17.5,4,3,Oui,1,1
21,Informatique,Licence,14.07,12.84,11.68,12.26,0,15.5,3,3,Non,1,1
24,Technique,Master,16.0,9.0,9.0,9.0,4,9.0,4,2,Non,0,0
30,Sciences,Cycle Ingénieur,14.96,16.0,14.98,15.49,0,9.4,5,4,Oui,1,1
22,Informatique,Master,12.21,8.72,6.77,7.745,1,4.6,2,4,Oui,0,0
28,Informatique,Cycle Ingénieur,14.51,11.86,14.76,13.309999999999999,1,12.0,5,4,Oui,1,1
22,Informatique,Cycle Ingénieur,15.03,16.0,14.14,15.07,1,12.8,4,4,Non,1,1
28,Technique,Licence,12.45,11.79,10.47,11.129999999999999,1,5.4,3,3,Oui,1,0
25,Mathématiques,Master,11.5,12.33,11.63,11.98,0,6.5,4,4,Non,1,1
29,Informatique,Licence,17.14,15.6,16.0,15.8,0,13.5,5,3,Oui,1,1
21,Informatique,Master,17.93,14.75,12.92,13.835,2,11.6,4,3,Oui,1,1
25,Technique,Licence,16.28,16.0,16.0,16.0,0,11.1,5,4,Non,1,1
30,Informatique,Licence,17.71,9.0,9.0,9.0,4,6.7,4,3,Non,0,0
23,Technique,Licence,13.05,12.53,14.34,13.434999999999999,2,5.4,5,4,Non,1,1
23,Sciences,Licence,14.46,14.07,13.05,13.56,1,8.3,4,4,Non,1,1
24,Informatique,Licence,11.59,13.13,12.48,12.805,2,10.1,3,3,Oui,1,1
23,Informatique,Cycle Ingénieur,12.63,9.0,9.0,9.0,3,8.7,2,2,Non,0,0
30,Technique,Licence,11.58,12.68,13.15,12.915,1,15.5,4,3,Oui,1,1
30,Sciences,Cycle Ingénieur,15.0,15.78,16.0,15.89,2,14.4,5,3,Oui,1,1
30,Mathématiques,Licence,13.0,9.0,9.0,9.0,4,9.3,3,3,Non,0,0
23,Mathématiques,Master,12.77,11.56,11.89,11.725000000000001,0,6.1,3,4,Non,1,1
29,Mathématiques,Licence,12.97,11.42,14.7,13.059999999999999,0,7.1,4,2,Non,1,1
28,Mathématiques,Licence,12.61,10.91,8.9,9.905000000000001,0,5.5,2,2,Non,0,0
30,Technique,Licence,12.9,10.0,9.82,9.91,1,10.5,3,4,Non,0,0
23,Informatique,Licence,11.18,9.0,9.0,9.0,4,8.7,1,3,Oui,0,0
29,Sciences,Licence,14.98,14.35,14.68,14.515,1,8.4,5,4,Non,1,1
25,Informatique,Cycle Ingénieur,16.38,15.41,13.01,14.21,0,10.0,4,4,Non,1,1
20,Mathématiques,Licence,13.51,11.32,11.82,11.57,1,5.9,3,4,Oui,1,1
30,Informatique,Licence,16.71,16.0,16.0,16.0,1,16.6,4,4,Oui,1,1
25,Sciences,Licence,11.95,12.24,9.64,10.940000000000001,1,13.6,2,4,Oui,1,0
24,Mathématiques,Master,14.16,13.27,14.07,13.67,1,13.9,5,5,Non,1,1
19,Informatique,Cycle Ingénieur,12.81,12.09,12.67,12.379999999999999,1,9.2,4,2,Oui,1,1
29,Informatique,Master,11.53,9.38,10.11,9.745000000000001,0,7.8,4,3,Non,0,1
28,Informatique,Master,12.57,12.83,12.08,12.455,0,13.2,3,3,Oui,1,1
23,Technique,Licence,14.23,12.9,11.1,12.0,1,8.1,3,4,Non,1,1
26,Mathématiques,Licence,17.12,16.0,16.0,16.0,2,8.5,4,3,Non,1,1
26,Sciences,Master,14.39,11.62,13.67,12.645,1,13.2,3,3,Non,1,1
30,Sciences,Master,11.75,12.7,14.99,13.844999999999999,0,0.7,4,2,Non,1,1
28,Technique,Master,14.95,12.11,12.42,12.265,0,0.5,3,3,Oui,1,1
22,Sciences,Master,14.76,16.0,16.0,16.0,1,13.2,4,3,Non,1,1
24,Technique,Master,17.3,14.68,15.57,15.125,1,12.8,4,3,Oui,1,1
29,Technique,Cycle Ingénieur,11.62,7.7,8.9,8.3,0,8.0,2,3,Non,0,0
24,Mathématiques,Master,15.68,15.33,16.0,15.665,1,14.7,4,3,Oui,1,1
21,Mathématiques,Cycle Ingénieur,12.4,10.4,10.72,10.56,2,15.2,3,3,Non,1,0
29,Mathématiques,Licence,17.52,16.0,13.47,14.735,1,18.0,2,2,Non,1,1
26,Mathématiques,Cycle Ingénieur,16.67,16.0,16.0,16.0,2,6.5,4,5,Non,1,1
25,Sciences,Cycle Ingénieur,16.56,9.0,9.0,9.0,3,10.2,2,3,Non,0,0
23,Informatique,Licence,12.41,12.66,12.18,12.42,2,7.8,4,5,Non,1,1
22,Mathématiques,Licence,13.21,15.27,16.0,15.635,1,13.2,5,4,Non,1,1
19,Sciences,Licence,12.63,15.44,15.08,15.26,1,13.8,5,4,Non,1,1
21,Mathématiques,Licence,14.02,15.34,14.02,14.68,2,16.8,4,4,Non,1,1
29,Informatique,Licence,16.21,16.0,16.0,16.0,2,9.1,4,4,Oui,1,1
24,Sciences,Master,14.76,13.09,9.8,11.445,1,20.6,3,1,Non,1,0
20,Informatique,Licence,11.09,10.01,12.01,11.01,2,17.0,4,4,Oui,1,1
28,Informatique,Master,13.4,12.29,10.11,11.2,0,11.1,3,4,Non,1,0
29,Informatique,Cycle Ingénieur,17.52,9.0,9.0,9.0,3,9.9,2,3,Oui,0,0
30,Informatique,Licence,13.62,12.18,11.44,11.809999999999999,0,6.8,4,3,Non,1,1
23,Informatique,Licence,13.66,12.07,10.88,11.475000000000001,2,11.1,2,3,Oui,1,0
22,Mathématiques,Cycle Ingénieur,14.76,13.92,14.86,14.39,0,9.1,5,4,Oui,1,1
21,Informatique,Master,12.74,9.99,8.2,9.094999999999999,0,8.2,3,3,Oui,0,0
